Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
untitled-apr22_03-25,Custom Table Plate Pen Holder,"<p><span>The Custom Table Plate Pen Holder serves as an effective tool for company publicity and promotion. Its custom print feature allows businesses to display branding directly at point-of-contact, enhancing visibility and recognition. This dual-purpose item offers both functional utility and marketing potential, making it a strategic choice for corporate environments.</span></p>",Zakria Sons,,"",best,true,Quantity,100,,,,,,,,,0.0,shopify,1000000,deny,manual,30000.00,,true,true,100.0,item,1,item,,,,,false,,,,,kg,,,active
yatai-leaf-bail-plant-6-feet,Yatai Leaf Bail Plant( 6 Feet),Vibrant Leaf Bail Plant – bring natural charm indoors and finish the look with a planter from our curated collection.,My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10191096447287,0.0,,0,deny,manual,9500.00,9999.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard23watermark.jpg?v=1775131133,1,"",false,,,,,kg,,,active
x-metal-stand-planters-set-of-2-pieces-1824-inch-approx,"X Metal Stand Planters Set of 2 Pieces (18"",24"" Inch Approx)","<p><strong>Check Out Our Plants And Flowers Section For Arrangement or Filling .</strong>Lightweight metal stand planters combine durability and modern style, perfect for elevating your plants effortlessly.  </p>",My Store,,simple,"Indoor Plants, Planters, stand planters",true,Title,Default Title,,,,,,,,shopify_10206810997047,0.0,,-1,deny,manual,2999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsApp_Image_2025-06-18_at_6.50.03_PM.jpg?v=1775131130,1,"",false,,,,,kg,,,active
wired-metal-stand-planters-set-of-218-24,"Wired Metal Stand Planters Set Of 2(18"", 24"")","<p><strong>Check Out Our Plants And Flowers Section For Arrangement or Filling .</strong>Lightweight metal stand planters combine durability and modern style, perfect for elevating your plants effortlessly.</p>",My Store,,simple,"Artificial Plants, Planters, stand planters",true,Title,Default Title,,,,,,,,shopify_10206822039863,0.0,,0,deny,manual,3399.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsApp_Image_2025-06-18_at_6.50.02_PM_1.jpg?v=1775131129,1,"",false,,,,,kg,,,active
white-star-leaf5-feet,White Star Leaf(5 Feet),"<p><strong>Size Can Be Customize. Colors Available.</strong> vibrant, lifelike blooms that add a pop of color; pair it with a stylish planter from our exclusive collection.</p>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10191098151223,0.0,,0,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard10watermark.jpg?v=1775131129,1,"",false,,,,,kg,,,active
white-cherry-blossom-plant-with-fiber-round-pot-6-5-feet-approx,White Cherry Blossom Plant With Fiber Round Pot (6.5 Feet Approx),"<p data-path-to-node=""7"">Elevate your home’s aesthetic with the timeless elegance of our <b data-path-to-node=""7"" data-index-in-node=""64"">6.5ft White Cherry Blossom Tree</b>. While pink blossoms are traditional, the White Cherry Blossom (often associated with purity and rebirth) offers a more modern, ""quiet luxury"" vibe that integrates seamlessly into minimalist, Scandinavian, or monochromatic decors.</p>
<p data-path-to-node=""8""><b data-path-to-node=""8"" data-index-in-node=""0"">Artisan Craftsmanship</b> Standing at <b data-path-to-node=""8"" data-index-in-node=""34"">6.5 feet approx</b>, this tree is engineered for impact. Each branch is reinforced with hidden wire, allowing you to customize the spread of the canopy—from a slender, upright silhouette to a wide, romantic arch. The blossoms are crafted from premium silk that resists dust and fading, ensuring your tree looks ""in bloom"" every single day of the year.</p>
<p data-path-to-node=""9""><b data-path-to-node=""9"" data-index-in-node=""0"">The Designer Foundation</b> We’ve paired this graceful tree with our signature <b data-path-to-node=""9"" data-index-in-node=""75"">Fiber Round Pot</b>. This isn't a standard plastic pot; it is a high-grade fiber composite that looks like heavy ceramic but is light enough to be repositioned easily. The round shape provides a soft, organic base that balances the tree’s height, while the weighted interior ensures maximum stability in high-traffic areas.</p>
<p data-path-to-node=""10""><b data-path-to-node=""10"" data-index-in-node=""0"">Versatile Styling</b> Perfect for homeowners looking to create a ""peaceful corner,"" this tree also serves as an incredible backdrop for photography, bridal showers, or professional office spaces. It adds life to ""dead"" corners and softens the look of modern furniture with its airy, delicate texture.</p>
<p data-path-to-node=""11""><b data-path-to-node=""11"" data-index-in-node=""0"">Specifications:</b></p>

<ul data-path-to-node=""12"">
 	<li>
<p data-path-to-node=""12,0,0""><b data-path-to-node=""12,0,0"" data-index-in-node=""0"">Total Height:</b> Approximately 6.5 Feet (78 inches)</p>
</li>
 	<li>
<p data-path-to-node=""12,1,0""><b data-path-to-node=""12,1,0"" data-index-in-node=""0"">Flower Color:</b> Snow White / Pearl White</p>
</li>
 	<li>
<p data-path-to-node=""12,2,0""><b data-path-to-node=""12,2,0"" data-index-in-node=""0"">Trunk Material:</b> Realistic synthetic resin with a natural bark finish</p>
</li>
 	<li>
<p data-path-to-node=""12,3,0""><b data-path-to-node=""12,3,0"" data-index-in-node=""0"">Pot Material:</b> Reinforced Modern Fiber (FRP)</p>
</li>
 	<li>
<p data-path-to-node=""12,4,0""><b data-path-to-node=""12,4,0"" data-index-in-node=""0"">Usage:</b> Indoor home and commercial decor</p>
</li>
</ul>

<hr data-path-to-node=""13"">

<h3 data-path-to-node=""14""><b data-path-to-node=""14"" data-index-in-node=""0"">SEO &amp; AI Search Optimization</b></h3>
<ul data-path-to-node=""15"">
 	<li>
<p data-path-to-node=""15,0,0""><b data-path-to-node=""15,0,0"" data-index-in-node=""0"">Primary Keywords:</b> 6.5ft White Cherry Blossom Tree, Artificial White Sakura Tree, Large Faux Flowering Tree, White Silk Tree with Pot, Modern Fiber Planter with Tree.</p>
</li>
 	<li>
<p data-path-to-node=""15,1,0""><b data-path-to-node=""15,1,0"" data-index-in-node=""0"">Secondary Keywords:</b> Tall artificial floor plants, white home decor accents, maintenance-free indoor trees, luxury artificial botanicals, Zen office decor.</p>
</li>
 	<li>
<p data-path-to-node=""15,2,0""><b data-path-to-node=""15,2,0"" data-index-in-node=""0"">AI Optimization:</b> This listing is optimized for AI-driven visual and voice searches by using descriptive terms like ""snow-white silk blooms,"" ""moonlit spring garden,"" and ""high-density petals."" It is categorized to appear in searches for ""wedding floral decor,"" ""minimalist indoor trees,"" and ""durable artificial plants.""</p>
</li>
</ul>",My Store,,simple,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,25000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Gemini_Generated_Image_ioisptioisptiois.png?v=1775799726,1,"",false,,,,,kg,,,active
white-cherry-blossom-plant-with-fiber-round-pot-6-5-feet-approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsApp-Image-2026-01-30-at-6.03.14-PM2-scaled.jpg?v=1775131128,2,"",,,,,,,,,
wheat-3stick-plant-l-6-5-feet-approx,Wheat 3Stick Plant (L) (6.5) Feet Approx),<p>Decorative Wheat Plant – rustic charm with a natural touch; choose a planter from our exclusive collection to match your style.</p>,My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10200936579383,0.0,,0,deny,manual,9500.00,10500.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard62watermark.jpg?v=1775131126,1,"",false,,,,,kg,,,active
wheat-3-stick-plant-s3-2-feet-approx,Wheat 3 Stick Plant (S)(4 Feet Approx),<p>Decorative Wheat Plant – rustic charm with a natural touch; choose a planter from our exclusive collection to match your style.</p>,My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10200934940983,0.0,,0,deny,manual,6000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard60watermark.jpg?v=1775131124,1,"",false,,,,,kg,,,active
wavy-texured-fiberglass-planter36,Wavy Texured Fiberglass Planter(36),"<p><strong>Custom colors (excluding black and white) are available at an additional charge.</strong>lightweight, durable, and stylish with a natural stone look ideal for indoor or outdoor use.</p>",My Store,,simple,"Fiber Planters, Indoor Plants, Planters, stand planters",true,Title,Default Title,,,,,,,,shopify_10209213120823,0.0,,0,deny,manual,10999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsAppImage2025-06-20at3.57.38PM_1.jpg?v=1775131122,1,"",false,,,,,kg,,,active
